[kbplacer_plugin_action.py:79]: Plugin executed with KiCad version: 7.0.7
[kbplacer_plugin_action.py:80]: Plugin executed with python version: '3.9.16 (main, Aug  8 2023, 05:38:28) [MSC v.1936 64 bit (AMD64)]'
[kbplacer_dialog.py:512]: Language: en
[kbplacer_plugin_action.py:96]: GUI state: {"switch_section": {"annotation": "R_SW{}", "layout_path": "", "x_distance": "19.05", "y_distance": "19.05"}, "switch_diodes_section": {"enable": true, "route_switches_with_diodes": true, "element_info": {"annotation_format": "R_D{}", "position_option": "Custom", "position": {"relative_position": [-4.5, -4.0], "orientation": 180.0, "side": "BACK"}, "template_path": ""}}, "additional_elements": {"elements_info": [{"annotation_format": "R_LED{}", "position_option": "Custom", "position": {"relative_position": [0.5, -6.5], "orientation": 0.0, "side": "FRONT"}, "template_path": ""}]}, "misc_section": {"route_rows_and_columns": true, "template_path": ""}}
[key_placer.py:66]: Set key 1U distance: 19050000/19050000
[key_placer.py:451]: Diode info: ElementInfo(annotation_format='R_D{}', position_option=<PositionOption.CUSTOM: 'Custom'>, position=ElementPosition(relative_position=Point(x=-4.5, y=-4.0), orientation=180.0, side=<Side.BACK: True>), template_path='')
[board_modifier.py:97]: Getting R_SW1 footprint position: (234550000, 39287500)
[board_modifier.py:64]: Searching for R_D1 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D1 footprint position: (230050000, 35287500)
[board_modifier.py:64]: Searching for R_LED1 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED1 footprint position: (235050000, 32787500)
[board_modifier.py:97]: Getting R_SW2 footprint position: (253600000, 37001500)
[board_modifier.py:64]: Searching for R_D2 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D2 footprint position: (249100000, 33001500)
[board_modifier.py:64]: Searching for R_LED2 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED2 footprint position: (254100000, 30501500)
[board_modifier.py:97]: Getting R_SW3 footprint position: (272650000, 34525000)
[board_modifier.py:64]: Searching for R_D3 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D3 footprint position: (268150000, 30525000)
[board_modifier.py:64]: Searching for R_LED3 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED3 footprint position: (273150000, 28025000)
[board_modifier.py:97]: Getting R_SW4 footprint position: (291700000, 37001500)
[board_modifier.py:64]: Searching for R_D4 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D4 footprint position: (287200000, 33001500)
[board_modifier.py:64]: Searching for R_LED4 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED4 footprint position: (292200000, 30501500)
[board_modifier.py:97]: Getting R_SW5 footprint position: (310750000, 41764000)
[board_modifier.py:64]: Searching for R_D5 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D5 footprint position: (306250000, 37764000)
[board_modifier.py:64]: Searching for R_LED5 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED5 footprint position: (311250000, 35264000)
[board_modifier.py:97]: Getting R_SW6 footprint position: (329800000, 46526500)
[board_modifier.py:64]: Searching for R_D6 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D6 footprint position: (325300000, 42526500)
[board_modifier.py:64]: Searching for R_LED6 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED6 footprint position: (330300000, 40026500)
[board_modifier.py:97]: Getting R_SW7 footprint position: (234550000, 58337500)
[board_modifier.py:64]: Searching for R_D7 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D7 footprint position: (230050000, 54337500)
[board_modifier.py:64]: Searching for R_LED7 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED7 footprint position: (235050000, 51837500)
[board_modifier.py:97]: Getting R_SW8 footprint position: (253600000, 56051499)
[board_modifier.py:64]: Searching for R_D8 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D8 footprint position: (249100000, 52051499)
[board_modifier.py:64]: Searching for R_LED8 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED8 footprint position: (254100000, 49551499)
[board_modifier.py:97]: Getting R_SW9 footprint position: (272650000, 53575000)
[board_modifier.py:64]: Searching for R_D9 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D9 footprint position: (268150000, 49575000)
[board_modifier.py:64]: Searching for R_LED9 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED9 footprint position: (273150000, 47075000)
[board_modifier.py:97]: Getting R_SW10 footprint position: (291700000, 56051499)
[board_modifier.py:64]: Searching for R_D10 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D10 footprint position: (287200000, 52051499)
[board_modifier.py:64]: Searching for R_LED10 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED10 footprint position: (292200000, 49551499)
[board_modifier.py:97]: Getting R_SW11 footprint position: (310750000, 60814000)
[board_modifier.py:64]: Searching for R_D11 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D11 footprint position: (306250000, 56814000)
[board_modifier.py:64]: Searching for R_LED11 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED11 footprint position: (311250000, 54314000)
[board_modifier.py:97]: Getting R_SW12 footprint position: (329800000, 65576500)
[board_modifier.py:64]: Searching for R_D12 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D12 footprint position: (325300000, 61576500)
[board_modifier.py:64]: Searching for R_LED12 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED12 footprint position: (330300000, 59076500)
[board_modifier.py:97]: Getting R_SW13 footprint position: (234550000, 77387500)
[board_modifier.py:64]: Searching for R_D13 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D13 footprint position: (230050000, 73387500)
[board_modifier.py:64]: Searching for R_LED13 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED13 footprint position: (235050000, 70887500)
[board_modifier.py:97]: Getting R_SW14 footprint position: (253600000, 75101500)
[board_modifier.py:64]: Searching for R_D14 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D14 footprint position: (249100000, 71101500)
[board_modifier.py:64]: Searching for R_LED14 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED14 footprint position: (254100000, 68601500)
[board_modifier.py:97]: Getting R_SW15 footprint position: (272650000, 72625000)
[board_modifier.py:64]: Searching for R_D15 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D15 footprint position: (268150000, 68625000)
[board_modifier.py:64]: Searching for R_LED15 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED15 footprint position: (273150000, 66125000)
[board_modifier.py:97]: Getting R_SW16 footprint position: (291700000, 75101500)
[board_modifier.py:64]: Searching for R_D16 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D16 footprint position: (287200000, 71101500)
[board_modifier.py:64]: Searching for R_LED16 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED16 footprint position: (292200000, 68601500)
[board_modifier.py:97]: Getting R_SW17 footprint position: (310750000, 79864000)
[board_modifier.py:64]: Searching for R_D17 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D17 footprint position: (306250000, 75864000)
[board_modifier.py:64]: Searching for R_LED17 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED17 footprint position: (311250000, 73364000)
[board_modifier.py:97]: Getting R_SW18 footprint position: (329800000, 84626500)
[board_modifier.py:64]: Searching for R_D18 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D18 footprint position: (325300000, 80626500)
[board_modifier.py:64]: Searching for R_LED18 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED18 footprint position: (330300000, 78126500)
[board_modifier.py:97]: Getting R_SW19 footprint position: (203639560, 129307912)
[board_modifier.py:64]: Searching for R_D19 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_D19 footprint position: (197742446, 128093811)
[board_modifier.py:97]: Getting R_D19 footprint position: (197742446, 128093811)
[board_modifier.py:64]: Searching for R_LED19 footprint in C:\Users\oyarz\Documents\pcbs\split_keyboard\split_keyboard.kicad_pcb
[board_modifier.py:84]: Setting R_LED19 footprint position: (200822573, 123428747)
